id	caption_0	caption_1	tag	secondary_tag	num_main_preds	collapsed_tag
302	There is a mouse cake for a birthday	There is a birthday cake for a mouse	Noun		1	Object
303	The cold-blooded animal isn't happy in warm water	The warm-blooded animal isn't happy in cold water	Adjective-Temperature	Symbolic, Morpheme-Level	1	Relation
304	The white queen is taking the black king	The black queen is taking the white king	Adjective-Color		1	Relation
305	visiting animals at home can be fun	animals visiting at home can be fun	Altered POS		1	Both
306	the person is not happy with the cat	the cat is not happy with the person	Noun		1	Object
307	the person is too big for the small door	the door is too small for the big person	Noun, Adjective-Size	Pragmatics	1	Both
308	a taller person is covering the eyes of a shorter person	a shorter person is covering the eyes of a taller person	Adjective-Size		1	Relation
309	the plant is eating the bug	the bug is eating the plant	Noun		1	Object
310	every bug has a leaf	every leaf has a bug	Noun	Pragmatics	1	Object
311	the green leaves will soon be red as the seasons change	the red leaves will soon be green as the seasons change	Adjective-Color		1	Relation
312	the white wall will soon be painted blue	the blue wall will soon be painted white	Adjective-Color		1	Relation
313	the moon prevents the sun's rays from falling on the earth	the earth prevents the sun's rays from falling on the moon	Noun		1	Object
314	all paper airplanes fly on a straight path except for one which takes a curved one	all paper airplanes fly on a curved path except for one which takes a straight one	Adjective-Manner	Symbolic	2	Relation
315	the person is too big for the pants	the pants is too big for the person	Noun		1	Object
316	a kid jumped then threw a basketball	a kid threw a basketball then jumped	Verb-Intransitive, Verb-Transitive Phrase	Series	2	Relation
317	one cheerlearder supporting multiple cheerleaders	multiple cheerleaders supporting one cheerlearder	Determiner-Numeral		1	Relation
318	two persons wearing one scarf	one person wearing two scarfs	Determiner-Numeral	Morpheme-Level	1	Relation
319	human head on pet	pet head on human	Noun		1	Object
320	the cow is over the moon	the moon is over the cow	Noun	Symbolic	1	Object
321	someone babys a pet	someone pets a baby	Altered POS	Morpheme-Level	1	Both
322	cat house	house cat	Noun		1	Object
323	gold for pan	pan for gold	Noun	Pragmatics	1	Object
324	water for plants	plants for water	Noun		1	Object
325	the businessperson's down fall	the businessperson's fall down	Altered POS		1	Both
326	outswam the person in the red swimcap	the person in the red swimcap swamout	Scope, Preposition, Verb-Intransitive	Morpheme-Level	1	Relation
327	manning a ship	shiping a mann	Altered POS	Symbolic, Morpheme-Level	1	Both
328	the person wearing a sweater stands in front of the person who isn't wearing a sweater	the person who isn't wearing a sweater stands in front of the person wearing a sweater	Negation, Scope		1	Relation
329	a person without glasses pushes a person with glasses sitting in a box	a person with glasses pushes a person without glasses sitting in a box	Negation, Scope		1	Relation
330	what is green will soon be yellow	what is yellow will soon be green	Adjective-Color		1	Relation
331	soon this animal not with a tail will have one	soon this animal with a tail will not have one	Negation, Scope		2	Relation
332	a mouse is touching a dog	a dog is touching a mouse	Noun		1	Object
333	fishing for compliments	compliments for fishing	Altered POS		1	Both
334	that person dusting off their hands	that person hands off their dusting	Altered POS		1	Both
335	a person wearing black shoes cleaning a bookshelf with an orange duster while a person wearing green shoes drinks wine from an orange glass and relaxes	a person wearing green shoes cleaning a bookshelf with an orange duster while a person wearing black shoes drinks wine from an orange glass and relaxes	Adjective-Color	Series	2	Relation
336	a person with short hair is happily ironing a light blue shirt while a person with long hair sits on a white couch	a person with long hair is happily ironing a light blue shirt while a person with short hair sits on a white couch	Adjective-Size	Series	2	Relation
337	yellow duck shoes on	yellow duck on shoes	Altered POS		1	Both
338	child in front facing row of yellow rubber ducks	front facing child in row of yellow rubber ducks	Scope, Preposition Phrase	Series	1	Relation
339	a bird cooking a person	a person cooking a bird	Noun	Symbolic	1	Object
340	a person wearing yellow and a person wearing stripes jumping	a jumping person wearing yellow and a person wearing stripes	Scope, Adjective-Manner	Series	2	Relation
341	a person wearing yellow with their feet in the air and a person wearing stripes	a person wearing stripes with their feet in the air and a person wearing yellow	Adjective-Color	Series	2	Relation
342	darker things become light in stripes	light things in stripes become darker	Scope, Preposition Phrase, Adjective-Color		1	Both
343	together hammering something	hammering something together	Scope	Pragmatics	1	Relation
344	A person sits next to a baby using an orange screwdriver to assemble a white piece of furniture	A baby sits next to a person using an orange screwdriver to assemble a white piece of furniture	Noun	Pragmatics, Series	1	Object
345	a worker in a yellow hat uses a drill to the left of where the opening in the wall is	the opening in the wall is to the left of where a worker in a yellow hat uses a drill	Sentence	Series	1	Relation
346	A small animal with curled hair	A curled small animal with hair	Scope, Adjective-Texture		1	Relation
347	A right hand pulls a glove onto a left hand	A left hand pulls a glove onto a right hand	Adjective-Spatial		1	Relation
348	A dog and a person with their feet hanging out of a car window	A dog with their feet hanging out of a car window and a person	Scope, Conjunction Phrase	Pragmatics	1	Relation
349	A person whispering into a dog's ear	A dog whispering into a person's ear	Noun	Morpheme-Level	1	Object
350	one ear that some donkey is whispering a secret into	donkey ear that some one is whispering a secret into	Altered POS, Determiner-Numeral	Morpheme-Level	1	Both
351	walking someone cut lines into green plants	someone walking lines cut into green plants	Scope, Altered POS, Verb-Intransitive, Verb-Transitive		1	Both
352	a volcano above water makes steam	water above a volcano makes steam	Noun Phrase		1	Object
353	A child riding a bike and an adult	A child and an adult riding a bike	Scope, Conjunction Phrase	Pragmatics	1	Relation
354	an adult putting a helmet on a child	a child putting a helmet on an adult	Noun	Series	1	Object
355	An adult wearing purple lying next to a child	An adult lying next to a child wearing purple	Scope, Adjective-Manner	Pragmatics, Series	1	Relation
356	a fencer who is wearing black pants having a point scored against them by another fencer using a wheelchair	a fencer having a point scored against them by another fencer who is wearing black pants using a wheelchair	Scope, Relative Clause	Series	1	Relation
357	a person with long braids is exercising in front of a person without braids	a person without braids is exercising in front of a person with long braids	Negation, Noun Phrase, Preposition Phrase	Series	1	Relation
358	in the stadium, the person wearing gray outperformed the one wearing blue	in the stadium, the person wearing blue outperformed the one wearing gray	Adjective-Color	Series	1	Relation
359	butchering white meat while wearing yellow but not red	butchering red meat while wearing white but not yellow	Adjective-Color		1	Relation
360	a child with a fake beard and an adult	an adult with a fake beard and a child	Noun		1	Object
361	on halloween, a child dressed as an insect is to the right of a child dressed as a mammal	on halloween, a child dressed as a mammal is to the right of a child dressed as an insect	Noun		2	Object
362	a modern office complex with many windows above a nicely landscaped lawn	a nicely landscaped lawn above a modern office complex with many windows	Noun Phrase		1	Object
363	a tree is partially inside a parked car	a parked car is partially inside a tree	Noun Phrase		1	Object
364	some are parking in a train	some are training in a park	Altered POS	Morpheme-Level	1	Both
365	an athlete running on water	water running on an athlete	Noun Phrase		1	Object
366	a horse getting wet	getting a horse wet	Scope		1	Relation
367	the glasses full of water are above the person's head and leg	the person's head and leg are above the glasses full of water	Noun Phrase	Series	1	Object
368	a person is touching the head of a squirrel	a squirrel is touching the head of a person	Noun		1	Object
369	a deer's nose is resting on a child's hand	a child's hand is resting on a deer's nose	Noun Phrase, Determiner-Possessive	Series	1	Object
370	two sparklers for one hand	one sparkler for two hands	Determiner-Numeral		1	Relation
371	an animal giving a person food	a person giving an animal food	Noun		1	Object
372	a spider towering over a dog	a dog towering over a spider	Noun	Symbolic, Series	1	Object
373	a car going into a hollow tube	a hollow tube going into a car	Noun		1	Object
374	two people wearing clothes of the same colors are on different side of the tennis net	two people wearing clothes of different colors are on the same side of the tennis net	Adjective-Manner Phrase		1	Relation
375	living things drinking	drinking living things	Scope, Adjective-Manner		1	Relation
376	a person near water using a lasso	near a person using a water lasso	Scope, Noun, Preposition		1	Both
377	a person spraying water on someone else and a person on a bike	a person spraying water on a person on a bike and someone else	Scope, Conjunction		2	Relation
378	a person stretching behind a brown dog	a brown dog stretching behind a person	Noun		1	Object
379	a person carrying more than one flotation device	more than one flotation device carrying a person	Noun Phrase, Determiner-Numeral		1	Object
380	two kids on a pool floatie and one kid swimming	one kid on a pool floatie and two kids swimming	Determiner-Numeral	Series	2	Relation
381	gears for moving something	moving gears for something	Scope, Verb-Transitive		1	Relation
382	looking from above at a collection of similar objects below	looking from below at a collection of similar objects above	Preposition		1	Relation
383	a toy herbivore stands on top of at least one toy carnivore	at least one toy herbivore stands on top of a toy carnivore	Determiner-Numeral	Symbolic, Series	1	Relation
384	a person supports a small chair	a chair supports a small person	Noun		1	Object
385	a person smiles at another person wearing a checked shirt who is hitting a ping pong ball	a person wearing a checked shirt smiles at another person who is hitting a ping pong ball	Scope, Adjective-Manner	Series	1	Relation
386	two versions of one person	one version of two persons	Determiner-Numeral	Morpheme-Level	1	Relation
387	There are not pink flowers below the bird with yellow head feathers	There are pink flowers not below the bird with yellow head feathers	Negation, Scope		1	Relation
388	In a shopping cart, there are two animals that are the same species but are looking in different directions	In a shopping cart, there are two animals that are the different species but are looking in same directions	Adjective-Manner	Series	2	Relation
389	water is on and under a vessel	a vessel is on and under water	Noun		2	Object
390	two bodies share with one head	one bodies share with two head	Determiner-Numeral		1	Relation
391	The worker wears something striped over a white undershirt with a collar	The worker wears something white over a striped undershirt with a collar	Adjective-Color		1	Relation
392	A person seen from above has a grid below them	A person seen from below has a grid above them	Preposition		1	Relation
393	head in the clouds	clouds in the head	Noun	Symbolic	1	Object
394	standing on feet	on feet standing	Scope, Preposition Phrase	Pragmatics	1	Relation
395	They have sunglasses over their hair	They have hair over their sunglasses	Noun		1	Object
396	an odd number of sweet things on a plate with an even number of sides	an even number of sweet things on a plate with an odd number of sides	Adjective-Manner		1	Relation
397	a large living thing in front of a large non-living thing	a large non-living thing in front of a large living thing	Negation, Scope		1	Relation
398	racing over it	racing it over	Scope, Preposition		1	Relation
399	someone is overdoing it	someone is doing it over	Scope, Preposition	Morpheme-Level	1	Relation
