id	caption_0	caption_1	class
373	a car going into a hollow tube	a hollow tube going into a car	visuallydifficult
374	two people wearing clothes of the same colors are on different side of the tennis net	two people wearing clothes of different colors are on the same side of the tennis net	ambiguously-correct
375	living things drinking	drinking living things	complex-reasoning
376	a person near water using a lasso	near a person using a water lasso	visuallydifficult
377	a person spraying water on someone else and a person on a bike	a person spraying water on a person on a bike and someone else	ambiguously-correct
378	a person stretching behind a brown dog	a brown dog stretching behind a person	no-tag
379	a person carrying more than one flotation device	more than one flotation device carrying a person	no-tag
380	two kids on a pool floatie and one kid swimming	one kid on a pool floatie and two kids swimming	no-tag
381	gears for moving something	moving gears for something	ambiguously-correct
382	looking from above at a collection of similar objects below	looking from below at a collection of similar objects above	complex-reasoning
383	a toy herbivore stands on top of at least one toy carnivore	at least one toy herbivore stands on top of a toy carnivore	complex-reasoning
384	a person supports a small chair	a chair supports a small person	no-tag
385	a person smiles at another person wearing a checked shirt who is hitting a ping pong ball	a person wearing a checked shirt smiles at another person who is hitting a ping pong ball	unusual-text
386	two versions of one person	one version of two persons	ambiguously-correct
387	There are not pink flowers below the bird with yellow head feathers	There are pink flowers not below the bird with yellow head feathers	unusual-text
388	In a shopping cart, there are two animals that are the same species but are looking in different directions	In a shopping cart, there are two animals that are the different species but are looking in same directions	no-tag
389	water is on and under a vessel	a vessel is on and under water	no-tag
390	two bodies share with one head	one bodies share with two head	unusual-text
391	The worker wears something striped over a white undershirt with a collar	The worker wears something white over a striped undershirt with a collar	no-tag
392	A person seen from above has a grid below them	A person seen from below has a grid above them	complex-reasoning
393	head in the clouds	clouds in the head	no-tag
394	standing on feet	on feet standing	ambiguously-correct
395	They have sunglasses over their hair	They have hair over their sunglasses	no-tag
396	an odd number of sweet things on a plate with an even number of sides	an even number of sweet things on a plate with an odd number of sides	complex-reasoning
397	a large living thing in front of a large non-living thing	a large non-living thing in front of a large living thing	no-tag
398	racing over it	racing it over	non-compositional
399	someone is overdoing it	someone is doing it over	non-compositional
